Date,Call GEX,Put GEX,Net GEX
2025-04-30,353600000.0,-435130.0,-81530.0
2025-05-01,392030000.0,-374880.0,17140.0
2025-05-02,420850000.0,-376140.0,44710.0
2025-05-05,389220000.0,-408200.0,-18980.0
2025-05-06,375760000.0,-434190.0,-58430.0
2025-05-07,389200000.0,-428330.0,-39140.0
2025-05-08,416360000.0,-412840.0,3520.0
2025-05-09,429370000.0,-413760.0,15610.0
2025-05-12,467300000.0,-362230.0,105070.0
2025-05-13,500840000.0,-403480.0,97370.0
2025-05-22,429370000.0,-474810.0,-45440.0
2025-05-23,403290000.0,-486300.0,-83000.0
2025-05-30,477520000.0,-466230.0,11290.0
2025-06-02,464570000.0,-445640.0,18930.0
2025-06-03,505430000.0,-431490.0,73930.0
2025-06-04,530130000.0,-417240.0,112880.0
2025-06-05,530780000.0,-425630.0,105150.0
2025-06-06,550710000.0,-433660.0,117050.0
2025-06-09,534760000.0,-442750.0,92010.0
2025-06-10,554950000.0,-436740.0,118210.0
2025-06-11,571170000.0,-425970.0,145200.0
2025-06-12,557130000.0,-523140.0,33980.0
2025-06-13,556800000.0,-534300.0,22500.0
2025-06-16,574580000.0,-465030.0,109550.0
2025-06-17,662600000.0,-690470.0,-27870.0
2025-06-18,659070000.0,-646620.0,12450.0
2025-06-20,365200000.0,-345190.0,20020.0
2025-06-23,358450000.0,-368970.0,-10520.0
2025-06-24,444910000.0,-308350.0,136560.0
2025-06-25,489430000.0,-309010.0,180420.0
2025-06-26,443900000.0,-328360.0,115550.0
2025-06-27,484410000.0,-296890.0,187510.0
2025-06-30,477330000.0,-271650.0,205690.0
2025-07-01,412520000.0,-393320.0,19200.0
